Node id | Latitud | Longitud
30663803 | 38.8342 | 0.1368 
30665953 | 38.8340 | 0.1378 
30666111 | 38.8340 | 0.1381 
30665361 | 38.8336 | 0.1385 
30665014 | 38.8338 | 0.1391 
30661079 | 38.8338 | 0.1394 
30663984 | 38.8320 | 0.1444 
30663620 | 38.8321 | 0.1454 
30666029 | 38.8319 | 0.1467 
30665666 | 38.8316 | 0.1474 
30665375 | 38.8317 | 0.1477 
30664955 | 38.8318 | 0.1484 
30661023 | 38.8313 | 0.1484 
30659846 | 38.8305 | 0.1492 
30659961 | 38.8304 | 0.1494 
30666156 | 38.8282 | 0.1534 
30665044 | 38.8276 | 0.1544 
931763703 | 38.8274 | 0.1542 
931763701 | 38.8273 | 0.1543 
931763698 | 38.8273 | 0.1545 
30664822 | 38.8272 | 0.1546 
30665217 | 38.8270 | 0.1549 
30660247 | 38.8269 | 0.1549 
30661025 | 38.8267 | 0.1551 
30659261 | 38.8267 | 0.1553 
30661049 | 38.8264 | 0.1550 
931763679 | 38.8260 | 0.1552 
30659374 | 38.8260 | 0.1553 
30660119 | 38.8256 | 0.1558 
30662791 | 38.8255 | 0.1555 
931763664 | 38.8254 | 0.1556 
30663182 | 38.8253 | 0.1558 
30661963 | 38.8250 | 0.1561 
931763649 | 38.8249 | 0.1567 
30662431 | 38.8248 | 0.1567 
931763645 | 38.8246 | 0.1572 
931763643 | 38.8243 | 0.1571 
30664323 | 38.8243 | 0.1572 
931763637 | 38.8243 | 0.1576 
931763635 | 38.8242 | 0.1578 
931763633 | 38.8241 | 0.1578 
30664082 | 38.8242 | 0.1579 
30664554 | 38.8240 | 0.1582 
931763631 | 38.8242 | 0.1584 
931763622 | 38.8239 | 0.1586 
30663787 | 38.8236 | 0.1589 
931763621 | 38.8237 | 0.1592 
931763620 | 38.8235 | 0.1595 
931763619 | 38.8232 | 0.1594 
931763618 | 38.8230 | 0.1598 
931763616 | 38.8227 | 0.1597 
931763615 | 38.8225 | 0.1596 
931763613 | 38.8219 | 0.1598 
30665685 | 38.8217 | 0.1603 
30666045 | 38.8217 | 0.1607 
30664902 | 38.8214 | 0.1609 
30665263 | 38.8210 | 0.1608 
30660459 | 38.8207 | 0.1606 
30660749 | 38.8204 | 0.1610 
30661236 | 38.8204 | 0.1614 
30659515 | 38.8206 | 0.1618 
30659970 | 38.8205 | 0.1621 
30662725 | 38.8202 | 0.1622 
30663036 | 38.8200 | 0.1619 
30661638 | 38.8197 | 0.1621 
30662298 | 38.8198 | 0.1625 
30664002 | 38.8198 | 0.1629 
30664466 | 38.8196 | 0.1632 
30663310 | 38.8196 | 0.1635 
30663855 | 38.8191 | 0.1640 
30665722 | 38.8188 | 0.1646 
30664975 | 38.8181 | 0.1658 
30665387 | 38.8182 | 0.1659 
30659226 | 38.8180 | 0.1662 
30659843 | 38.8178 | 0.1664 
30662632 | 38.8175 | 0.1664 
30663002 | 38.8175 | 0.1668 
576996838 | 38.8174 | 0.1667 
576996837 | 38.8153 | 0.1659 
576996836 | 38.8131 | 0.1625 
576996835 | 38.8098 | 0.1596 
576996833 | 38.8058 | 0.1554 
576996832 | 38.8055 | 0.1531 
576996830 | 38.8044 | 0.1458 
576996828 | 38.8037 | 0.1421 
576996826 | 38.8032 | 0.1306 
576996824 | 38.8032 | 0.1297 
576996823 | 38.8033 | 0.1293 
576996821 | 38.8038 | 0.1285 
576996819 | 38.8046 | 0.1281 
576996818 | 38.8049 | 0.1278 
576996817 | 38.8052 | 0.1273 
576996815 | 38.8054 | 0.1263 
576996814 | 38.8056 | 0.1260 
576996813 | 38.8060 | 0.1255 
576996812 | 38.8064 | 0.1247 
576996810 | 38.8066 | 0.1242 
576996809 | 38.8067 | 0.1237 
576996807 | 38.8069 | 0.1234 
576996806 | 38.8071 | 0.1231 
576996804 | 38.8072 | 0.1226 
576996803 | 38.8073 | 0.1218 
576996801 | 38.8077 | 0.1200 
576996799 | 38.8082 | 0.1131 
576996798 | 38.8080 | 0.1129 
576996797 | 38.8076 | 0.1126 
576996796 | 38.8074 | 0.1120 
576996795 | 38.8076 | 0.1113 
576996794 | 38.8077 | 0.1107 
576996793 | 38.8076 | 0.1099 
576996791 | 38.8076 | 0.1092 
576996790 | 38.8077 | 0.1085 
576996788 | 38.8081 | 0.1060 
576996787 | 38.8073 | 0.1063 
576996785 | 38.8070 | 0.1063 
576996783 | 38.8064 | 0.1062 
576996782 | 38.8057 | 0.1059 
576996780 | 38.8050 | 0.1058 
576996779 | 38.8042 | 0.1058 
576996778 | 38.8039 | 0.1057 
576996777 | 38.8036 | 0.1053 
576996776 | 38.8034 | 0.1049 
576996775 | 38.8032 | 0.1045 
576996774 | 38.8025 | 0.1041 
576996773 | 38.8019 | 0.1034 
576996772 | 38.8013 | 0.1030 
576996771 | 38.8006 | 0.1029 
1158172212 | 38.8003 | 0.1031 
1158172198 | 38.7998 | 0.1030 
257897186 | 38.8000 | 0.1016 
257897185 | 38.8001 | 0.1008 
257897184 | 38.8001 | 0.0998 
257897183 | 38.8004 | 0.0990 
257897182 | 38.8011 | 0.0965 
257897181 | 38.8015 | 0.0955 
257897180 | 38.8021 | 0.0946 
257897179 | 38.8030 | 0.0931 
257897178 | 38.8038 | 0.0920 
257897177 | 38.8044 | 0.0913 
257899716 | 38.8049 | 0.0906 
257899715 | 38.8047 | 0.0904 
257899714 | 38.8044 | 0.0901 
257899713 | 38.8042 | 0.0901 
257899712 | 38.8037 | 0.0905 
257899711 | 38.8032 | 0.0908 
257899710 | 38.8028 | 0.0911 
257899709 | 38.8025 | 0.0913 
257899708 | 38.8019 | 0.0911 
257899707 | 38.8018 | 0.0909 
257899706 | 38.8017 | 0.0907 
257899705 | 38.8017 | 0.0902 
1181066705 | 38.8016 | 0.0900 
257899704 | 38.8014 | 0.0892 
257899703 | 38.8013 | 0.0885 
257899702 | 38.8011 | 0.0881 
1181066631 | 38.8010 | 0.0880 
257899701 | 38.7998 | 0.0870 
1179316650 | 38.7993 | 0.0870 
257899700 | 38.7982 | 0.0869 
257899699 | 38.7979 | 0.0871 
257899698 | 38.7972 | 0.0876 
257899697 | 38.7965 | 0.0881 
257899696 | 38.7962 | 0.0882 
257899695 | 38.7957 | 0.0880 
257899694 | 38.7950 | 0.0876 
257899693 | 38.7946 | 0.0874 
257899692 | 38.7937 | 0.0873 
257899691 | 38.7934 | 0.0872 
1181086514 | 38.7932 | 0.0871 
257899690 | 38.7931 | 0.0870 
1181086597 | 38.7931 | 0.0867 
1181086598 | 38.7929 | 0.0859 
1181086668 | 38.7928 | 0.0853 
1181086477 | 38.7927 | 0.0847 
1181086659 | 38.7926 | 0.0841 
1181086762 | 38.7925 | 0.0838 
1181086450 | 38.7924 | 0.0836 
1181086642 | 38.7923 | 0.0835 
1181086498 | 38.7919 | 0.0830 
1181086556 | 38.7920 | 0.0826 
1181086439 | 38.7920 | 0.0822 
1181086739 | 38.7919 | 0.0818 
1181086728 | 38.7921 | 0.0813 
1292051230 | 38.7923 | 0.0811 
1292051189 | 38.7922 | 0.0806 
1292051184 | 38.7922 | 0.0802 
1292051208 | 38.7923 | 0.0797 
1292051231 | 38.7924 | 0.0795 
1292051187 | 38.7927 | 0.0791 
1292051196 | 38.7928 | 0.0791 
576613314 | 38.7936 | 0.0766 
576613313 | 38.7935 | 0.0727 
576613312 | 38.7930 | 0.0727 
576613311 | 38.7922 | 0.0725 
576613310 | 38.7918 | 0.0726 
576613309 | 38.7911 | 0.0723 
576613308 | 38.7906 | 0.0720 
576613307 | 38.7869 | 0.0692 
576613306 | 38.7848 | 0.0693 
576613305 | 38.7835 | 0.0693 
711780299 | 38.7829 | 0.0672 
576613304 | 38.7818 | 0.0640 
711715778 | 38.7816 | 0.0624 
711747111 | 38.7805 | 0.0545 
711780402 | 38.7805 | 0.0543 
711715808 | 38.7793 | 0.0508 
711715805 | 38.7786 | 0.0485 
576613302 | 38.7774 | 0.0446 
711715804 | 38.7756 | 0.0408 
576613301 | 38.7750 | 0.0396 
576613300 | 38.7663 | 0.0377 
576613299 | 38.7636 | 0.0337 
1304434260 | 38.7650 | 0.0283 
576923964 | 38.7661 | 0.0243 
1304415259 | 38.7665 | 0.0180 
